#,VIB ID,Equipment ID,Date,Axial (mm/s),Gear (mm/s),Horizontal (mm/s),Vertical (mm/s)
1,,351.BL115,2024-12-15,3.79,,8.42,5.28
2,,351.BL115,2025-01-27,3.23,,3.53,4
3,,351.BL115,2024-12-15,3.74,,6.86,6.64
4,,351.BL115,2025-01-27,2.68,,5.42,5.61
5,,351.BL115,2024-12-15,9.1,,6.54,5.34
6,,351.BL115,2025-01-27,3.8,,5.12,6.25
7,,351.BL115,2024-12-15,10.96,,5.76,4.09
8,,351.BL115,2025-01-27,3.35,,6.85,6.44
9,Vb-611.BL300-BLDE-RMS,611.BL300,2024-12-16,4.15,,3.53,4.44
10,Vb-611.BL300-BLNDE-RMS,611.BL300,2024-12-16,3.33,,4.35,4.83
11,Vb-611.BL300-MDE-RMS,611.BL300,2024-12-16,7.9,,6.29,5.12
12,Vb-611.BL300-MNDE-RMS,611.BL300,2024-12-16,2.76,,4.39,6.71
13,Vb-612.BL300-BLDE-RMS,612.BL300,2024-12-16,6.16,,4.15,6.24
14,Vb-612.BL300-BLDE-RMS,612.BL300,2025-01-02,5.52,,4.51,6.47
15,Vb-612.BL300-BLNDE-RMS,612.BL300,2024-12-16,5.88,,8.23,6.79
16,Vb-612.BL300-BLNDE-RMS,612.BL300,2025-01-02,5.45,,7.99,7.68
17,Vb-612.BL300-MDE-RMS,612.BL300,2024-12-16,8.34,,8.5,2.71
18,Vb-612.BL300-MDE-RMS,612.BL300,2025-01-02,8.55,,9.25,3.02
19,Vb-612.BL300-MNDE-RMS,612.BL300,2024-12-16,10.8,,3.82,5.32
20,Vb-612.BL300-MNDE-RMS,612.BL300,2025-01-02,8.23,,3.23,7.71
21,Vb-341.BL300-BLDE-RMS,341.BL300,2024-12-15,3.76,,4.54,3.51
22,Vb-341.BL300-BLDE-RMS,341.BL300,2025-01-27,3.93,,3.9,3.37
23,Vb-341.BL300-BLNDE-RMS,341.BL300,2024-12-15,2.56,,4.13,3.76
24,Vb-341.BL300-BLNDE-RMS,341.BL300,2025-01-27,3.96,,3.46,2.63
25,Vb-341.BL300-MDE-RMS,341.BL300,2024-12-15,14.73,,3.96,9.65
26,Vb-341.BL300-MDE-RMS,341.BL300,2025-01-27,16.9,,3.45,8.03
27,Vb-341.BL300-MNDE-RMS,341.BL300,2024-12-15,15.45,,5.71,2.48
28,Vb-341.BL300-MNDE-RMS,341.BL300,2025-01-27,13.58,,6.82,2.95
29,Vb-341.BL305-BLDE-RMS,341.BL305,2024-12-15,3.13,,4.04,4.18
30,Vb-341.BL305-BLDE-RMS,341.BL305,2025-01-27,4.08,,4.19,
31,Vb-341.BL305-BLNDE-RMS,341.BL305,2024-12-15,3.39,,5.74,3.93
32,Vb-341.BL305-BLNDE-RMS,341.BL305,2025-01-27,3.84,,8,5.22
33,Vb-341.BL305-MDE-RMS,341.BL305,2024-12-15,7.47,,2.52,5.5
34,Vb-341.BL305-MDE-RMS,341.BL305,2025-01-27,7.9,,3.64,9.26
35,Vb-341.BL305-MNDE-RMS,341.BL305,2024-12-15,6.15,,5.16,2.04
36,Vb-341.BL305-MNDE-RMS,341.BL305,2025-01-27,6.31,,5.99,4.71
37,Vb-341.BL310-BLDE-RMS,341.BL310,2024-12-15,3.94,,2.56,4.21
38,Vb-341.BL310-BLDE-RMS,341.BL310,2025-01-27,4.93,,6.14,4.11
39,Vb-341.BL310-BLNDE-RMS,341.BL310,2024-12-15,3.6,,4.66,
40,Vb-341.BL310-BLNDE-RMS,341.BL310,2025-01-27,6.26,,5.13,3.85
41,Vb-341.BL310-MDE-RMS,341.BL310,2024-12-15,16.58,,9.02,5.35
42,Vb-341.BL310-MDE-RMS,341.BL310,2025-01-27,19.79,,4.84,12.83
43,Vb-341.BL310-MNDE-RMS,341.BL310,2024-12-15,16.9,,5.82,5.38
44,Vb-341.BL310-MNDE-RMS,341.BL310,2025-01-27,26.23,,7.45,7.94
45,Vb-465.BL580-BLDE-RMS,465.BL580,2024-12-15,7.27,,10.64,7.87
46,Vb-465.BL580-BLDE-RMS,465.BL580,2025-01-27,4.31,,7.39,7.06
47,Vb-465.BL580-BLNDE-RMS,465.BL580,2024-12-15,6.49,,8.29,6.86
48,Vb-465.BL580-BLNDE-RMS,465.BL580,2025-01-27,5.7,,6.38,6.19
49,Vb-465.BL580-MDE-RMS,465.BL580,2024-12-15,3.54,,4.12,5.57
50,Vb-465.BL580-MDE-RMS,465.BL580,2025-01-27,4.02,,3.97,3.37
51,Vb-465.BL580-MNDE-RMS,465.BL580,2024-12-15,6.36,,4.42,4.11
52,Vb-465.BL580-MNDE-RMS,465.BL580,2025-01-27,1.44,,4.08,4.36
53,Vb-465.BL630-BLDE-RMS,465.BL630,2024-12-15,4.14,,2.49,3.75
54,Vb-465.BL630-BLDE-RMS,465.BL630,2025-01-27,3.62,,3.3,6.01
55,Vb-465.BL630-BLNDE-RMS,465.BL630,2024-12-15,4.25,,2.42,2.4
56,Vb-465.BL630-BLNDE-RMS,465.BL630,2025-01-27,3.45,,3.48,2.82
57,Vb-465.BL630-MDE-RMS,465.BL630,2024-12-15,1.37,,1.17,1.44
58,Vb-465.BL630-MDE-RMS,465.BL630,2025-01-27,1.63,,1.79,1.59
59,Vb-465.BL630-MNDE-RMS,465.BL630,2024-12-15,2.46,,2.09,3.32
60,Vb-465.BL630-MNDE-RMS,465.BL630,2025-01-27,1.55,,2.57,3.18
61,Vb-461.FN450-FDE-RMS,461.FN450,2024-12-08,0.3,,0.34,0.2
62,Vb-461.FN450-FNDE-RMS,461.FN450,2024-12-08,0.42,,0.21,0.35
63,Vb-461.FN450-MDE-RMS,461.FN450,2024-12-08,0.49,,0.27,0.17
64,Vb-461.FN450-MNDE-RMS,461.FN450,2024-12-08,0.15,,0.26,0.21
65,Vb-341.BE040-MDE-RMS,341.BE040,2024-12-11,1.86,,1.51,1.62
66,Vb-341.BE040-MNDE-RMS,341.BE040,2024-12-11,1.65,,1.28,2.17
67,,341.BE040,2024-12-11,1.54,,1.13,1.49
68,,341.BE040,2024-12-11,0.85,,1.47,1.66
69,Vb-341.BE040-S3DE-RMS,341.BE040,2024-12-11,1.15,,1.2,1.5
70,Vb-342.BE041-MDE-RMS,342.BE041,2024-12-11,2.02,,2.56,2.31
71,Vb-342.BE041-MNDE-RMS,342.BE041,2024-12-11,2,,3.28,2.4
72,,342.BE041,2024-12-11,1.53,,2.11,2.2
73,,342.BE041,2024-12-11,1.55,,1.75,2.15
74,Vb-342.BE041-S3DE-RMS,342.BE041,2024-12-11,2.68,,1.74,2.52
75,Vb-451.FN240-FDE-RMS,451.FN240,2024-12-05,0.37,,0.5,0.46
76,Vb-451.FN240-FNDE-RMS,451.FN240,2024-12-05,0.42,,0.47,0.3
77,Vb-451.FN240-MDE-RMS,451.FN240,2024-12-05,0.39,,0.75,0.75
78,Vb-451.FN240-MNDE-RMS,451.FN240,2024-12-05,0.4,,0.38,0.3
79,Vb-451.WI111-MDE-RMS,451.WI111,2024-12-09,0.96,,1.3,0.87
80,Vb-451.WI111-MNDE-RMS,451.WI111,2024-12-09,1.11,,1.42,0.73
81,Vb-451.WI111-PDE-RMS,451.WI111,2024-12-09,1.01,,0.64,1.69
82,Vb-451.WI111-PNDE-RMS,451.WI111,2024-12-09,0.66,,0.61,0.85
83,Vb-531.BE220-MDE-RMS,531.BE220,2024-12-23,7.01,,5.46,5.67
84,Vb-531.BE220-MNDE-RMS,531.BE220,2024-12-23,6.52,,6.85,9.94
85,Vb-531.BE220-S1DE-RMS,531.BE220,2024-12-23,4.25,,3.38,6.51
86,Vb-531.BE220-S2DE-RMS,531.BE220,2024-12-23,2.15,,5.36,5.02
87,Vb-531.BE220-S2NDE-RMS,531.BE220,2024-12-23,3.84,,5.98,3.95
88,Vb-532.BE220-MDE-RMS,532.BE220,2024-12-22,3.16,,4.19,10.2
89,Vb-532.BE220-MNDE-RMS,532.BE220,2024-12-22,2.99,,5.92,13.93
90,,532.BE220,2024-12-22,4.89,,2.33,4.98
91,,532.BE220,2024-12-22,3.87,,3.07,3.22
92,,532.BE220,2024-12-22,6.51,,3.64,3.07
93,Vb-531.MD140-MDE-RMS,531.MD140,2024-12-23,0.43,,1.42,1.9
94,Vb-531.MD140-MDE-RMS,531.MD140,2025-01-06,0.51,,1.3,1.35
95,Vb-531.MD140-MNDE-RMS,531.MD140,2024-12-23,1,,0.69,0.9
96,Vb-531.MD140-MNDE-RMS,531.MD140,2025-01-06,0.74,,0.72,0.75
97,Vb-531.MD140-S1DE-RMS,531.MD140,2024-12-23,3.3,,3.65,6.23
98,Vb-531.MD140-S1DE-RMS,531.MD140,2025-01-06,3.94,,3.84,5.11
99,Vb-531.MD140-S1NDE-RMS,531.MD140,2024-12-23,4.12,,4.44,4.86
100,Vb-531.MD140-S1NDE-RMS,531.MD140,2025-01-06,3.89,,4.95,3.55
101,Vb-531.MD140-S2DE-RMS,531.MD140,2024-12-23,3.2,,2.61,2.11
102,Vb-531.MD140-S2DE-RMS,531.MD140,2025-01-06,3.27,,2.65,2.51
103,Vb-531.MD140-S2NDE-RMS,531.MD140,2024-12-23,4.12,,1.9,2.96
104,Vb-531.MD140-S2NDE-RMS,531.MD140,2025-01-06,3.49,,1.71,2.63
105,Vb-531.MD140-S3DE-RMS,531.MD140,2024-12-23,1.81,,2.3,2.43
106,Vb-531.MD140-S3DE-RMS,531.MD140,2025-01-06,1.95,,2.36,2.54
107,Vb-531.MD140-S3NDE-RMS,531.MD140,2024-12-23,4.88,,2.62,1.99
108,Vb-531.MD140-S3NDE-RMS,531.MD140,2025-01-06,4.45,,3.29,2.26
109,Vb-531.MD140-S4DE-RMS,531.MD140,2024-12-23,2.94,,2.95,2.14
110,Vb-531.MD140-S4DE-RMS,531.MD140,2025-01-06,3.24,,2.67,1.98
111,Vb-531.MD140-S4NDE-RMS,531.MD140,2024-12-23,2.49,,1.96,2.53
112,Vb-531.MD140-S4NDE-RMS,531.MD140,2025-01-06,2.54,,2.21,3.29
113,Vb-532.MD140-MDE-RMS,532.MD140,2024-12-22,0.88,,1.41,1.45
114,Vb-532.MD140-MDE-RMS,532.MD140,2025-01-06,0.9,,1.23,1.48
115,Vb-532.MD140-MNDE-RMS,532.MD140,2024-12-22,1.27,,0.86,0.64
116,Vb-532.MD140-MNDE-RMS,532.MD140,2025-01-06,0.66,,0.84,0.67
117,Vb-532.MD140-S1DE-RMS,532.MD140,2024-12-22,3.05,,6.22,5.14
118,Vb-532.MD140-S1DE-RMS,532.MD140,2025-01-06,3.65,,6.45,5.42
119,Vb-532.MD140-S1NDE-RMS,532.MD140,2024-12-22,3.58,,2.77,3.05
120,Vb-532.MD140-S1NDE-RMS,532.MD140,2025-01-06,3.51,,3.44,3.13
121,Vb-532.MD140-S2DE-RMS,532.MD140,2024-12-22,2.22,,3.12,2.72
122,Vb-532.MD140-S2DE-RMS,532.MD140,2025-01-06,2.69,,3.21,2.5
123,Vb-532.MD140-S2NDE-RMS,532.MD140,2024-12-22,3.05,,1.67,2.78
124,Vb-532.MD140-S2NDE-RMS,532.MD140,2025-01-06,3.01,,1.64,2.49
125,Vb-532.MD140-S3DE-RMS,532.MD140,2024-12-22,2.07,,2.84,3.03
126,Vb-532.MD140-S3DE-RMS,532.MD140,2025-01-06,2.44,,2.87,3.13
127,Vb-532.MD140-S3NDE-RMS,532.MD140,2024-12-22,3.85,,2.12,2.08
128,Vb-532.MD140-S3NDE-RMS,532.MD140,2025-01-06,4.07,,2.05,2.2
129,Vb-532.MD140-S4DE-RMS,532.MD140,2024-12-22,3.26,,3.32,2.75
130,Vb-532.MD140-S4DE-RMS,532.MD140,2025-01-06,3.51,,3.14,2.92
131,Vb-532.MD140-S4NDE-RMS,532.MD140,2024-12-22,2.38,,2.1,2.9
132,Vb-532.MD140-S4NDE-RMS,532.MD140,2025-01-06,2.45,,1.93,3.17
133,Vb-341.FN315-FDE-RMS,341.FN315,2025-01-26,4.41,,4.7,2.14
134,Vb-341.FN315-FNDE-RMS,341.FN315,2025-01-26,4.78,,3.93,2.14
135,Vb-341.FN315-MDE-RMS,341.FN315,2025-01-26,,,3.93,2.76
136,Vb-341.FN315-MNDE-RMS,341.FN315,2025-01-26,2.49,,2.5,4.25
137,Vb-341.FN316-FDE-RMS,341.FN316,2024-12-09,3.27,,7.71,4.31
138,Vb-341.FN316-FDE-RMS,341.FN316,2025-01-26,3.75,,6.38,5.02
139,Vb-341.FN316-FNDE-RMS,341.FN316,2024-12-09,3.33,,8.52,4.18
140,Vb-341.FN316-FNDE-RMS,341.FN316,2025-01-26,3.46,,6.46,4.59
141,Vb-341.FN316-MDE-RMS,341.FN316,2024-12-09,5.07,,1.96,8.55
142,Vb-341.FN316-MDE-RMS,341.FN316,2025-01-26,,,3.56,5.54
143,Vb-341.FN316-MNDE-RMS,341.FN316,2024-12-09,4.93,,4.65,10.44
144,Vb-341.FN316-MNDE-RMS,341.FN316,2025-01-26,3.34,,4.16,8.7
145,Vb-441.CR400-CRDE-RMS,441.CR400,2024-12-03,0.5,,1.36,0.22
146,Vb-441.CR400-CRDE-RMS,441.CR400,2024-12-05,0.55,,1.27,1.85
147,Vb-441.CR400-CRDE-RMS,441.CR400,2025-01-28,1.01,,1.4,1.7
148,Vb-441.CR400-CRNDE-RMS,441.CR400,2024-12-03,0.74,,0.24,0.24
149,Vb-441.CR400-CRNDE-RMS,441.CR400,2024-12-05,0.68,,1.09,0.97
150,Vb-441.CR400-CRNDE-RMS,441.CR400,2025-01-28,0.61,,1.13,1.28
151,Vb-441.CR400-MDE-RMS,441.CR400,2024-12-03,0.94,,0.87,1.32
152,Vb-441.CR400-MDE-RMS,441.CR400,2024-12-05,0.87,,0.72,1.48
153,Vb-441.CR400-MDE-RMS,441.CR400,2025-01-28,1.21,,0.8,1.78
154,Vb-441.CR400-MNDE-RMS,441.CR400,2024-12-03,0.23,,0.71,0.28
155,Vb-441.CR400-MNDE-RMS,441.CR400,2024-12-05,0.81,,1.14,0.9
156,Vb-441.CR400-MNDE-RMS,441.CR400,2025-01-28,1.22,,0.86,0.86
157,Vb-461.MD140-MDE-RMS,461.MD140,2024-12-08,0.42,,0.84,0.6
158,Vb-461.MD140-MNDE-RMS,461.MD140,2024-12-08,0.38,,0.4,0.44
159,Vb-461.MD140-PHSS-RMS,461.MD140,2024-12-08,1.26,,1.44,0.86
160,Vb-461.MD140-RGT-RMS,461.MD140,2024-12-08,1.55,,1.51,1.31
161,Vb-461.FN125-FDE-RMS,461.FN125,2024-12-08,4.33,,3.1,2.97
162,Vb-461.FN125-FNDE-RMS,461.FN125,2024-12-08,4.43,,3.98,3.87
163,Vb-331.WI210-MDE-RMS,331.WI210,2024-12-09,1.64,,2.9,2.05
164,Vb-331.WI210-MNDE-RMS,331.WI210,2024-12-09,0.37,,1.52,1.16
165,Vb-331.WI210-PDE-RMS,331.WI210,2024-12-09,0.34,,1.08,0.49
166,Vb-331.WI210-PNDE-RMS,331.WI210,2024-12-09,0.39,,0.97,0.33
167,Vb-441.FN300-FDE-RMS,441.FN300,2024-12-03,1.95,,1.75,2.06
168,Vb-441.FN300-FDE-RMS,441.FN300,2024-12-04,1.52,,1.9,2.92
169,Vb-441.FN300-FDE-RMS,441.FN300,2025-01-22,1.72,,3.4,3.77
170,Vb-441.FN300-FDE-RMS,441.FN300,2025-01-28,1.31,,2.6,2.89
171,Vb-441.FN300-FNDE-RMS,441.FN300,2024-12-03,1.49,,4.3,3.95
172,Vb-441.FN300-FNDE-RMS,441.FN300,2025-01-22,1.59,,5.14,3.78
173,Vb-441.FN300-FNDE-RMS,441.FN300,2025-01-28,1.43,,4.06,3.46
174,Vb-441.FN300-MDE-RMS,441.FN300,2024-12-03,2.38,,3.21,4.17
175,Vb-441.FN300-MDE-RMS,441.FN300,2025-01-22,2.55,,2.65,4.76
176,Vb-441.FN300-MDE-RMS,441.FN300,2025-01-28,1.78,,2.09,2.99
177,Vb-441.FN300-MNDE-RMS,441.FN300,2024-12-03,2.51,,1.6,1.79
178,Vb-441.FN300-MNDE-RMS,441.FN300,2025-01-22,3.01,,5.89,6.44
179,Vb-441.FN300-MNDE-RMS,441.FN300,2025-01-28,1.83,,1.88,2.29
180,Vb-441.FN305-FDE-RMS,441.FN305,2024-12-03,1.51,,2.58,3.16
181,Vb-441.FN305-FDE-RMS,441.FN305,2025-01-22,1.15,,2.78,2.22
182,Vb-441.FN305-FDE-RMS,441.FN305,2025-01-28,0.98,,2.03,1.57
183,Vb-441.FN305-FNDE-RMS,441.FN305,2024-12-03,1.91,,2.16,2.98
184,Vb-441.FN305-FNDE-RMS,441.FN305,2025-01-22,1.31,,1.68,1.11
185,Vb-441.FN305-FNDE-RMS,441.FN305,2025-01-28,0.97,,1.6,1.12
186,Vb-441.FN305-MDE-RMS,441.FN305,2024-12-03,1.78,,2.59,2.05
187,Vb-441.FN305-MDE-RMS,441.FN305,2025-01-22,2.31,,2.1,2.14
188,Vb-441.FN305-MDE-RMS,441.FN305,2025-01-28,1.91,,2.09,2.76
189,Vb-441.FN305-MNDE-RMS,441.FN305,2024-12-03,1.76,,2.07,2.14
190,Vb-441.FN305-MNDE-RMS,441.FN305,2025-01-22,1.02,,1.35,1.26
191,Vb-441.FN305-MNDE-RMS,441.FN305,2025-01-28,0.96,,1.35,1.88
192,Vb-441.FN310-FDE-RMS,441.FN310,2024-12-03,0.9,,1.22,0.79
193,Vb-441.FN310-FDE-RMS,441.FN310,2025-01-22,1.07,,1.33,0.96
194,Vb-441.FN310-FDE-RMS,441.FN310,2025-01-28,0.93,,1.48,0.93
195,Vb-441.FN310-FNDE-RMS,441.FN310,2024-12-03,0.95,,1.57,1.11
196,Vb-441.FN310-FNDE-RMS,441.FN310,2025-01-22,0.69,,1.23,1.12
197,Vb-441.FN310-FNDE-RMS,441.FN310,2025-01-28,0.68,,1.4,1.46
198,Vb-441.FN310-MDE-RMS,441.FN310,2024-12-03,1.67,,2.56,2.71
199,Vb-441.FN310-MDE-RMS,441.FN310,2025-01-22,0.74,,1.73,1.91
200,Vb-441.FN310-MDE-RMS,441.FN310,2025-01-28,0.65,,2.02,1.33
201,Vb-441.FN310-MNDE-RMS,441.FN310,2024-12-03,0.83,,1.24,1.35
202,Vb-441.FN310-MNDE-RMS,441.FN310,2025-01-22,0.6,,1.02,0.9
203,Vb-441.FN310-MNDE-RMS,441.FN310,2025-01-28,0.41,,1.22,0.99
204,Vb-441.FN315-FDE-RMS,441.FN315,2024-12-03,6.75,,1.02,2.52
205,Vb-441.FN315-FDE-RMS,441.FN315,2025-01-22,1.18,,1.4,0.84
206,Vb-441.FN315-FDE-RMS,441.FN315,2025-01-23,3.67,,3.1,3.87
207,Vb-441.FN315-FDE-RMS,441.FN315,2025-01-28,1.75,,2.45,1.08
208,Vb-441.FN315-FNDE-RMS,441.FN315,2024-12-03,7.12,,2.54,3.67
209,Vb-441.FN315-FNDE-RMS,441.FN315,2025-01-22,1.12,,1.41,1.23
210,Vb-441.FN315-FNDE-RMS,441.FN315,2025-01-23,3.63,,3.83,2.61
211,Vb-441.FN315-FNDE-RMS,441.FN315,2025-01-28,1.79,,4.65,3.59
212,Vb-441.FN315-MDE-RMS,441.FN315,2024-12-03,5.83,,3.8,1.62
213,Vb-441.FN315-MDE-RMS,441.FN315,2025-01-22,0.76,,0.49,1.21
214,Vb-441.FN315-MDE-RMS,441.FN315,2025-01-23,3.67,,2.04,4.76
215,Vb-441.FN315-MDE-RMS,441.FN315,2025-01-28,3.78,,3.37,2.23
216,Vb-441.FN315-MNDE-RMS,441.FN315,2024-12-03,4.98,,3.14,3.04
217,Vb-441.FN315-MNDE-RMS,441.FN315,2025-01-22,1.18,,1.24,1.8
218,Vb-441.FN315-MNDE-RMS,441.FN315,2025-01-23,3.24,,5.12,3.75
219,Vb-441.FN315-MNDE-RMS,441.FN315,2025-01-28,1.47,,4.5,3.55
220,Vb-441.FN325-FDE-RMS,441.FN325,2024-12-03,1.16,,1,1.07
221,Vb-441.FN325-FDE-RMS,441.FN325,2025-01-22,1.97,,1.64,1.81
222,Vb-441.FN325-FDE-RMS,441.FN325,2025-01-28,1.41,,1.35,2.25
223,Vb-441.FN325-FNDE-RMS,441.FN325,2024-12-03,1.06,,1.13,1.3
224,Vb-441.FN325-FNDE-RMS,441.FN325,2025-01-22,1.95,,3.42,1.82
225,Vb-441.FN325-FNDE-RMS,441.FN325,2025-01-28,1.41,,2.79,2.24
226,Vb-441.FN325-MDE-RMS,441.FN325,2024-12-03,1.81,,1.93,1.75
227,Vb-441.FN325-MDE-RMS,441.FN325,2025-01-22,3.34,,5.05,2.87
228,Vb-441.FN325-MDE-RMS,441.FN325,2025-01-28,3.37,,4.19,2.94
229,Vb-441.FN325-MNDE-RMS,441.FN325,2024-12-03,1.2,,1.78,1.75
230,Vb-441.FN325-MNDE-RMS,441.FN325,2025-01-22,2.32,,2.87,2.7
231,Vb-441.FN325-MNDE-RMS,441.FN325,2025-01-28,1.44,,2.15,1.62
232,Vb-441.FN335-FDE-RMS,441.FN335,2024-12-03,1.26,,3.42,1.91
233,Vb-441.FN335-FDE-RMS,441.FN335,2025-01-23,1.26,,1.45,0.82
234,Vb-441.FN335-FDE-RMS,441.FN335,2025-01-28,5.41,,5.79,1.15
235,Vb-441.FN335-FNDE-RMS,441.FN335,2024-12-03,0.6,,1.37,
236,Vb-441.FN335-FNDE-RMS,441.FN335,2025-01-23,1.38,,1.35,1.17
237,Vb-441.FN335-FNDE-RMS,441.FN335,2025-01-28,5.52,,4.3,1.85
238,Vb-441.FN335-MDE-RMS,441.FN335,2024-12-03,1.43,,3.47,2.76
239,Vb-441.FN335-MDE-RMS,441.FN335,2025-01-23,1.13,,1.16,1.06
240,Vb-441.FN335-MDE-RMS,441.FN335,2025-01-28,5.57,,4.81,5.2
241,Vb-441.FN335-MNDE-RMS,441.FN335,2024-12-03,1.02,,2.22,1.04
242,Vb-441.FN335-MNDE-RMS,441.FN335,2025-01-23,0.73,,0.94,1.18
243,Vb-441.FN335-MNDE-RMS,441.FN335,2025-01-28,5.25,,5.32,5.56
244,Vb-441.FN340-FDE-RMS,441.FN340,2024-12-03,0.6,,0.6,0.21
245,Vb-441.FN340-FDE-RMS,441.FN340,2024-12-05,0.24,,0.48,0.46
246,Vb-441.FN340-FDE-RMS,441.FN340,2025-01-22,0.66,,0.62,0.55
247,Vb-441.FN340-FDE-RMS,441.FN340,2025-01-23,0.5,,0.73,0.71
248,Vb-441.FN340-FDE-RMS,441.FN340,2025-01-28,0.4,,0.92,0.56
249,Vb-441.FN340-FNDE-RMS,441.FN340,2024-12-03,0.4,,0.65,0.82
250,Vb-441.FN340-FNDE-RMS,441.FN340,2024-12-05,0.3,,0.59,0.53
251,Vb-441.FN340-FNDE-RMS,441.FN340,2025-01-22,0.51,,0.71,0.77
252,Vb-441.FN340-FNDE-RMS,441.FN340,2025-01-23,0.7,,0.82,0.74
253,Vb-441.FN340-FNDE-RMS,441.FN340,2025-01-28,0.42,,0.79,0.68
254,Vb-441.FN340-MDE-RMS,441.FN340,2024-12-03,0.68,,1.01,0.93
255,Vb-441.FN340-MDE-RMS,441.FN340,2024-12-05,0.45,,0.78,0.76
256,Vb-441.FN340-MDE-RMS,441.FN340,2025-01-22,0.6,,0.82,0.81
257,Vb-441.FN340-MDE-RMS,441.FN340,2025-01-23,0.67,,0.8,0.72
258,Vb-441.FN340-MDE-RMS,441.FN340,2025-01-28,0.61,,1.2,1.06
259,Vb-441.FN340-MNDE-RMS,441.FN340,2024-12-03,0.47,,0.89,0.2
260,Vb-441.FN340-MNDE-RMS,441.FN340,2024-12-05,0.27,,0.36,0.51
261,Vb-441.FN340-MNDE-RMS,441.FN340,2025-01-22,0.4,,0.54,0.68
262,Vb-441.FN340-MNDE-RMS,441.FN340,2025-01-23,0.39,,0.49,0.52
263,Vb-441.FN340-MNDE-RMS,441.FN340,2025-01-28,0.32,,0.51,1.25
264,Vb-441.FN345-FDE-RMS,441.FN345,2024-12-03,1.04,,1.68,1.57
265,Vb-441.FN345-FDE-RMS,441.FN345,2024-12-05,1.14,,1.2,1.1
266,Vb-441.FN345-FDE-RMS,441.FN345,2025-01-22,0.91,,2.99,0.64
267,Vb-441.FN345-FDE-RMS,441.FN345,2025-01-28,0.59,,1.56,0.86
268,Vb-441.FN345-FNDE-RMS,441.FN345,2024-12-03,0.95,,1.38,0.8
269,Vb-441.FN345-FNDE-RMS,441.FN345,2024-12-05,0.5,,0.6,0.79
270,Vb-441.FN345-FNDE-RMS,441.FN345,2025-01-22,1.68,,4.47,1.89
271,Vb-441.FN345-FNDE-RMS,441.FN345,2025-01-28,0.44,,1.88,1.03
272,Vb-441.FN345-MDE-RMS,441.FN345,2024-12-03,0.25,,1.73,1.58
273,Vb-441.FN345-MDE-RMS,441.FN345,2024-12-05,0.99,,2.25,2.4
274,Vb-441.FN345-MDE-RMS,441.FN345,2025-01-22,0.97,,3.96,3.64
275,Vb-441.FN345-MDE-RMS,441.FN345,2025-01-28,0.72,,1.87,1.87
276,Vb-441.FN345-MNDE-RMS,441.FN345,2024-12-03,0.5,,0.91,1.24
277,Vb-441.FN345-MNDE-RMS,441.FN345,2024-12-05,0.89,,0.85,0.89
278,Vb-441.FN345-MNDE-RMS,441.FN345,2025-01-22,0.77,,2.72,0.86
279,Vb-441.FN345-MNDE-RMS,441.FN345,2025-01-28,0.47,,1.25,1.26
280,Vb-441.FN350-FDE-RMS,441.FN350,2024-12-03,0.22,,0.84,0.36
281,Vb-441.FN350-FDE-RMS,441.FN350,2024-12-05,0.68,,0.55,0.74
282,Vb-441.FN350-FDE-RMS,441.FN350,2025-01-22,0.67,,1.58,1.27
283,Vb-441.FN350-FDE-RMS,441.FN350,2025-01-28,0.96,,0.67,0.5
284,Vb-441.FN350-FNDE-RMS,441.FN350,2024-12-03,0.27,,1.49,0.2
285,Vb-441.FN350-FNDE-RMS,441.FN350,2024-12-05,0.22,,1.66,0.34
286,Vb-441.FN350-FNDE-RMS,441.FN350,2025-01-22,0.57,,1.25,0.94
287,Vb-441.FN350-FNDE-RMS,441.FN350,2025-01-28,1.17,,0.54,0.48
288,Vb-441.FN350-MDE-RMS,441.FN350,2024-12-03,0.46,,0.22,1.08
289,Vb-441.FN350-MDE-RMS,441.FN350,2024-12-05,0.88,,0.47,0.54
290,Vb-441.FN350-MDE-RMS,441.FN350,2025-01-22,0.72,,2.14,1.53
291,Vb-441.FN350-MDE-RMS,441.FN350,2025-01-28,1.2,,0.56,0.7
292,Vb-441.FN350-MNDE-RMS,441.FN350,2024-12-03,0.25,,1.37,0.35
293,Vb-441.FN350-MNDE-RMS,441.FN350,2024-12-05,0.26,,0.58,0.45
294,Vb-441.FN350-MNDE-RMS,441.FN350,2025-01-22,,,0.34,1.61
295,Vb-441.FN350-MNDE-RMS,441.FN350,2025-01-28,0.75,,0.53,0.8
296,Vb-741.CP110-CDE-RMS,741.CP110,2024-12-15,2.47,,2.5,3.26
297,Vb-741.CP110-CDE-RMS,741.CP110,2025-01-27,1.9,,2.39,3.29
298,Vb-741.CP110-CNDE-RMS,741.CP110,2024-12-15,3.14,,2.64,3.51
299,Vb-741.CP110-CNDE-RMS,741.CP110,2025-01-27,3.34,,2.62,3.02
300,Vb-741.CP110-MDE-RMS,741.CP110,2024-12-15,2.74,,2,3.24
301,Vb-741.CP110-MDE-RMS,741.CP110,2025-01-27,3.49,,2.77,3.28
302,Vb-741.CP110-MNDE-RMS,741.CP110,2024-12-15,1.72,,2.44,1.56
303,Vb-741.CP110-MNDE-RMS,741.CP110,2025-01-27,3.14,,2.45,1.8
304,Vb-742.CP110-CDE-RMS,742.CP110,2024-12-16,1.19,,1.35,2.59
